1	878.0	4.95745396614
2	763.0	7.45944404602
3	878.0	9.95948505402
4	878.0	12.4585549831
4	763.0	14.9587230682
5	878.0	17.4587550163
6	878.0	19.9570229053
7	878.0	22.4584438801
7	878.0	24.959182024
8	878.0	27.4597229958
9	878.0	29.9595000744
10	878.0	32.4598679543
10	878.0	34.9606990814
11	878.0	37.4633860588
12	878.0	39.963602066
13	878.0	42.4650080204
14	878.0	44.9677648544
14	878.0	47.4706070423
15	878.0	49.9763460159
16	878.0	52.477093935
17	878.0	54.9781730175
17	878.0	57.4821999073
18	878.0	59.9816260338
19	878.0	62.4815449715
20	878.0	64.9849328995
20	878.0	67.4863810539
21	878.0	69.9912760258
22	878.0	72.5004820824
23	878.0	75.0072979927
24	878.0	77.5138418674
24	878.0	80.0213770866
25	878.0	82.5301868916
26	878.0	85.0372800827
27	878.0	87.5452549458
27	878.0	90.05240798
28	878.0	92.5629680157
29	878.0	95.081330061
30	878.0	97.5958528519
30	878.0	100.102602959
31	878.0	102.609507084
32	878.0	105.125226974
33	878.0	107.645483017
34	878.0	110.163658857
34	878.0	112.681447029
35	878.0	115.190526009
36	878.0	117.69889307
37	878.0	120.205401897
37	878.0	122.710913897
38	878.0	125.215429068
39	878.0	127.72082901
40	878.0	130.229589939
40	878.0	132.745168924
41	878.0	135.260320902
42	878.0	137.774294853
43	878.0	140.28202486
44	878.0	142.787508965
44	878.0	145.293015003
45	878.0	147.80920887
46	878.0	150.325124979
47	878.0	152.839015961
47	878.0	155.350803852
48	878.0	157.870940924
49	878.0	160.397404909
50	878.0	162.904959917
50	878.0	165.412487984
51	878.0	167.919542074
52	878.0	170.434443951
53	878.0	172.958699942
54	878.0	175.476960897
54	878.0	177.989470005
55	878.0	180.49501586
56	878.0	183.001015902
57	878.0	185.51060605
57	878.0	188.030788898
58	878.0	190.547587872
59	878.0	193.064707041
60	878.0	195.57337594
60	878.0	198.079443932
61	878.0	200.586164951
62	878.0	203.096549988
63	878.0	205.604024887
64	878.0	208.110322952
64	878.0	210.618828058
65	878.0	213.125334978
66	878.0	215.632958889
67	878.0	218.139776945
67	878.0	220.649438858
68	878.0	223.158638954
69	878.0	225.67051506
70	878.0	228.192538977
70	878.0	230.707683086
71	878.0	233.215301037
72	878.0	235.724565983
73	878.0	238.242666006
74	878.0	240.767067909
74	878.0	243.288089991
75	878.0	245.811187029
76	878.0	248.31801796
77	878.0	250.824655056
77	878.0	253.334821939
78	878.0	255.858053923
79	878.0	258.37707305
80	878.0	260.895008087
80	878.0	263.40405798
81	878.0	265.911043882
82	878.0	268.417175055
83	878.0	270.93482399
84	878.0	273.456048965
84	878.0	275.972779036
85	878.0	278.483788013
86	878.0	280.990571976
87	878.0	283.504072905
87	878.0	286.024091959
88	878.0	288.556514025
89	878.0	291.092067003
90	878.0	293.617613077
90	878.0	296.130815029
91	878.0	298.639536858
92	878.0	301.150855064
93	878.0	303.67750001
94	878.0	306.206229925
94	878.0	308.739723921
95	878.0	311.248799086
96	878.0	313.755620956
97	878.0	316.269321918
97	878.0	318.79359293
98	878.0	321.320472002
99	878.0	323.838790894
100	878.0	326.359811068
100	878.0	328.867759943
